speaker	text	label
T	Steven, If you had 4 of something and tripled that amount, how much would you have?	3
S	I would have 12 of something.	0
T	So if Nancy triples the 18 cubic feet of water, how much would she have?	3
S	She would have 54 cubic feet of water.	0
T	Exactly correct!	1
T	Stephanie, How many days will it take to do one step, if John adds one pushup per day?	3
S	It will take one day to do one step, since John adds one pushup per day.	0
S	It will take 15 days to do 15 wall push-ups, since he adds one pushup per day.	0
T	How many days to get to 15 high elevation pus-ups ?	3
S	It will take 29 days to get to 15 high elevation push-ups, since he adds one pushup per day and it takes 14 days to get to 15 wall push-ups.	0
T	Re-calculate, you jusy said iy took 15 days to get to 15 wall pushups, which is correct.	4
S	It will take 29 days to get to 15 high elevation push-ups, since he adds one pushup per day and it takes 15 days to get to 15 wall push-ups.	0
T	If it took 15 days to get to 15 wall push-ups, how many days would it take just to get to 15 high elevation pushups?	3
S	It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 14 days to get from 15 wall push-ups to 15 high elevation push-ups.	0
T	14 x 1 will never equal 15, only 15 x 1= 15.  EVERYTIME!  Redo the problem please, remember that fact.	4
S	It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 14 days to get from 15 wall push-ups to 15 high elevation push-ups.	0
S	It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 15 days to get from 15 wall push-ups to 15 high elevation push-ups.	0
T	You just said 15 + 15= 29!	4
S	It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 15 days to get from 15 wall push-ups to 15 high elevation push-ups.	0
T	DeAndre, you successfully answered the question as asked, could you tell me the total number of pairs of black socks James had.	3
S	James had 10 pairs of black socks.	0
T	could you tell me the total number of pairs of red socks James had?	3
S	James had 20 pairs of red socks.	0
T	could you tell me the total number of pairs of white socks James had	3
T	What are the total number of pairs of socks James had?	3
S	James had a total of 90 pairs of socks.	0
T	What is the distance between the first and second stores?	3
S	The distance between the first and second stores is 6 miles.	0
T	What is the distance between the 2nd and 3rd stores?	3
S	The distance between the second and third stores is 2/3 x 6 = 4 miles longer than the distance between the first two stores, so it is 6 + 4 = 10 miles.	0
T	What is the distance between his house and the first store?	3
S	The distance between his house and the first store is 4 miles.	0
T	What is the distance between the last (3rd) store and work?	3
S	The distance between the last (3rd) store and work is also 4 miles.	0
S	The total of these 4 distances is 4 + 6 + 10 + 4 = 24 miles.	0
T	Perfect!	1
T	Cody, How far doe Wanda walk each morning?	3
S	Wanda walks 0.5 miles each morning.	0
T	Check again, she walks to the school and back in the morning.  What is the answer?	3
S	Wanda walks 0.5 miles each afternoon.	0
T	Remember, she walked to the school and back each afternoon... so how far did she walk?	4
S	Wanda walks 1 mile each afternoon, for a total of 5 miles each week and 20 miles after 4 weeks.	0
T	She walked in the morning and afternoon, so how far did she walk each day?	3
S	Wanda walks 1 mile each day, for a total of 5 miles each week and 20 miles after 4 weeks.	0
T	Look back, you said she walked one mile in the morning and one in the afternoon... how much total each day?	4
S	Wanda walks 2 miles each day, for a total of 10 miles each week and 40 miles after 4 weeks.	0
T	Fantastic!	1
T	Hi Alejandra, could you please outline your approach to this solution?	1
T	I see. But we're dealing with individual pies here, rather than slices.  If you had a birthday cake, and lots of guests at your party, you couldn't just keep producing slices of cake.  Can you think of another way to figure out how everyone gets a piece?	3
S	Yes, I could count the number of slices of each type of pie and then divide by the number of pieces in each pie. For shepherd's pie, I would divide 208 by 4 to get the number of pies sold, which was 52. For chicken pot pie, I would divide 400 by 5 to get the number of pies sold, which was 80. Then, I would add 52 and 80 together to get the total number of pies sold, which was 132.	0
T	But there are always 4 slices in a shepherd's pie, so using the total number of slices might not be helpful.  Are there are any other quantities you could use to divide by the slices in the pie?	2
T	Yes, that's the correct solution!  Well done for changing the way you approached that problem.	1
T	Hi Scott, Can you walk me through your solution to this problem?	1
S	Sure! Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. So, Annie does 10 x 13 = 130 hours of extracurricular activities before midterms.	0
T	Ok, can you tell me how many weeks there are in a semester before mid-terms?	3
S	Before midterms, there are 10 weeks in a semester.	0
T	But if a normal semester is 12 weeks long (let's forget about Annie's sickness for a moment), and mid-terms are mid way through that semester, how many weeks is that?	3
S	A normal semester is 12 weeks long, and midterms are in the middle of that, so there are 6 weeks before midterms.	0
T	Ok, so could you review your answer and check your calculations in light of that information about how many weeks there are before midterms?	2
T	You're getting there, but have you taken Annie's sickness in the first 2 weeks of term into account in your answer?	3
S	Yes, I have taken Annie's sickness into account. She does extracurriculars for 12-2 = 10 weeks before midterms, but since there are only 6 weeks before midterms, she does 6 x 13 = 78 hours of extracurricular activities before midterms. So, taking her sickness into account, Annie does 78 hours of extracurricular activities before midterms.	0
T	That's not quite right.  You've taken Annie's sickness off her whole semester's attendance, but she was sick in the first 2 weeks, so you will have to take that from your 6 weeks before mid-terms.	4
S	Oh, I see. So, Annie does extracurriculars for 12-2 = 10 weeks before midterms, but since she was sick for 2 of those weeks, she only does 8 weeks of extracurriculars before midterms. That means she does 8 x 13 = 104 hours of extracurricular activities before midterms.	0
T	That's still not quite right.  You are right there are 6 weeks before the midterms, but you will have to take her 2 weeks sickness from that figure rather than the number of weeks in the whole semester.  Can you try again with that approach?	4
T	Not quite.  You have the correct number of extracurricular hours in the week.  And you had the figure of 6 weeks for the midterms, but have to take her sickness from those weeks.  So instead of 6x13 = 78 as you had before, it would be 4x13=52.  Does that make sense?	4
S	Yes, that makes sense. So, Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. But since she was sick for 2 of those weeks, she only does 8 weeks of extracurriculars before midterms. That means she does 8 x 13 = 104 hours of extracurricular activities before midterms, minus the 2 weeks she was sick, so she does 4 x 13 = 52 hours of extracurricular activities before midterms.	0
T	Not quite.  Your calculation of time periods is faulty there.  She spends 2 hrs on chess, 8hrs on drama and 3 hrs on glee which is 13 hours a week.  There are 12 weeks in a semester, but we only want to know her hours before the midterms, which is 12/2 = 6 weeks.   But she is ill the first 2 weeks of term, so 6-2 = 4 weeks.  We multiply her extracurricular hrs per week by those weeks to get our answer 13*4 = 52 hours.	4
S	Ah, I see. So, Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, but we only want to know her hours before the midterms, which is 12/2 = 6 weeks. But she is ill the first 2 weeks of term, so 6-2 = 4 weeks. We multiply her extracurricular hrs per week by those weeks to get our answer 13*4 = 52 hours.	0
T	That's right, well done.	1
T	Hi DeAndre, could you please explain your approach to this problem?	1
S	Sure. I started by calculating the percent of students who are learning from home, which is 40%. Then I subtracted that from 100% to get the percent of students who are in school, which is 60%. I then divided that number by two to get the percent of students in each group, which is 30%. Finally, I divided that number by two again to get the percent of students present in school on any given day, which is 15%.	0
T	Great, so first you noted the number of students from home, what was your next step?	2
S	My next step was to subtract the number of students from home (40%) from 100% to get the number of students in school (60%). Then I divided that number by two to get the percent of students in each group (30%). Finally, I divided that number by two again to get the percent of students present in school on any given day (15%).	0
S	Sure. The original question asked what percent of students are present in school. To answer this, I first found the percent of students learning from home (40%). Then I subtracted that from 100% to get the percent of students in school (60%). I then divided that number by two to get the percent of students in each group (30%). Finally, I divided that number by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).	0
T	So in your third step you divided the 60% of students in school into two equal groups (30%).  What does the question ask you to do next?	2
S	The question asked me to find the percent of students present in school on any given day. So in my fourth step, I divided the 30% of students in each group by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).	0
T	What does the question describe about the percentage of students in school that your first calculation has you split into two groups (60%/2 = 30%)?	2
S	The question states that the remaining 60% of students are divided into two equal groups, so my first calculation split that 60% into two equal groups of 30%. This means that each group represents 30% of the total students.	0
T	And if one group of those students is present in school in any one day, what percentage of students is present in school?	2
S	Since only one of the two groups is physically in school on any day, that means 30%/2 = 15% of the total students are present in school on any given day.	0
T	But you've carried out another calculation there, does the question ask you to?	2
S	Yes, the question asked me to find the percent of students present in school on any given day, so I divided the 30% of students in each group by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).	0
T	That's not quite right.  The question asks how many students decided to return to school, which you correctly calculated as 60%.  They are divided into two equal groups (30%) and only one group is present in school on a particular day.  That means 30% of students are present.  Can you see you have duplicated that calculation to come up with 15%?	4
S	Yes, I see now that I have duplicated the calculation. The question asked how many students are present in school on any given day, so I should have just used the 30% of students in each group to answer the question, rather than dividing it by two again. So the correct answer is 30%.	0
T	Yes, that's the correct reasoning to solve that problem, well done.	1
T	Hi Claire, can you walk me through your approach to this problem?	1
S	Sure! I started by setting up an equation. I let x represent the number of cans Jack recycled, so I knew that he made 10 cents per bottle and 5 cents per can. I multiplied 10 cents by 80 bottles to get his earnings from the bottles, which was 800 cents or $8. Then I multiplied 5 cents by x cans to get his earnings from the cans, which was 0.05x dollars. I added the two together to get his total earnings, which was 800 + 0.05x = 1500 cents or $15. Then I simplified the equation to 0.05x = 700 and divided both sides by 0.05 to get x = 1400/5 = 280. So, Jack recycled 280 cans.	0
T	When you look through your solution, do all the units of your numbers look correct?	3
S	Yes, all the units look correct. I used cents for the bottle and can deposits, and dollars for the total earnings.	0
T	Might there be a simpler way to approach the problem as you know Jack's total earnings and the earnings he made from recycling bottles?	2
S	Yes, there is a simpler way to approach the problem. I could have subtracted the earnings he made from the bottles ($8) from the total earnings ($15) to get the earnings he made from the cans, which is $7. Then I could have divided the earnings from the cans by 5 cents to get the number of cans he recycled, which is 140 cans.	0
